query,case,seed,runtime_seconds
5c,4,7,1.46
6a,4,7,0.47
6b,4,7,0.66
6d,4,7,0.81
10a,4,7,1.34
10b,4,7,1.25
10c,4,7,2.25
15a,4,7,1.09
15b,4,7,0.90
15c,4,7,1.03
15d,4,7,0.84
24a,4,7,1.70
24b,4,7,1.43
1a,4,8,0.14
1b,4,8,0.11
1c,4,8,0.11
1d,4,8,0.12
2a,4,8,0.32
2b,4,8,0.29
2c,4,8,0.09
3a,4,8,1.16
3b,4,8,0.95
3c,4,8,1.30
4a,4,8,0.32
4b,4,8,0.23
5a,4,8,0.08
5b,4,8,0.08
5c,4,8,1.14
6a,4,8,0.47
6b,4,8,0.67
6d,4,8,0.83
10a,4,8,1.35
10b,4,8,1.28
10c,4,8,2.18
15a,4,8,1.09
15b,4,8,0.87
15c,4,8,1.06
15d,4,8,0.90
24a,4,8,1.74
24b,4,8,1.43
1a,4,9,0.52
1b,4,9,0.24
1c,4,9,0.20
1d,4,9,0.36
2a,4,9,0.58
2b,4,9,0.59
2c,4,9,0.49
3a,4,9,1.07
3b,4,9,0.93
3c,4,9,1.14
4a,4,9,0.39
4b,4,9,0.27
5a,4,9,0.29
5b,4,9,0.20
5c,4,9,1.24
6a,4,9,0.52
6b,4,9,0.51
6d,4,9,0.83
10a,4,9,1.38
10b,4,9,1.25
10c,4,9,2.22
15a,4,9,1.04
15b,4,9,0.88
15c,4,9,1.00
15d,4,9,0.81
24a,4,9,1.70
24b,4,9,1.61
