dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
tpch_sf10_t1,4,8,cpu_share,22,0.854063117,6,14
tpch_sf10_t1,4,8,direct_add,22,0.876944458,7,13
tpch_sf10_t64,2,1,cpu_share,22,1.00851267,5,3
tpch_sf10_t64,2,1.5,cpu_share,22,1.00091311,4,6
tpch_sf10_t64,2,2,cpu_share,22,0.993926644,4,6
tpch_sf10_t64,2,4,cpu_share,22,0.96685039,2,8
tpch_sf10_t64,2,8,cpu_share,22,0.921751893,0,10
tpch_sf10_t64,4,1,cpu_share,22,0.997352677,8,6
tpch_sf10_t64,4,1.5,cpu_share,22,0.983881857,7,11
tpch_sf10_t64,4,2,cpu_share,22,0.970374417,6,12
tpch_sf10_t64,4,4,cpu_share,22,0.922419964,5,13
tpch_sf10_t64,4,8,cpu_share,22,0.843922934,3,15
tpch_sf10_t8,2,1,cpu_share,22,1.21692328,9,0
tpch_sf10_t8,2,1.5,cpu_share,22,1.17441836,9,1
tpch_sf10_t8,2,2,cpu_share,22,1.13762051,9,1
tpch_sf10_t8,2,4,cpu_share,22,1.02725216,6,4
tpch_sf10_t8,2,8,cpu_share,22,0.891932872,1,9
tpch_sf10_t8,4,1,cpu_share,22,1.31170733,12,0
tpch_sf10_t8,4,1.5,cpu_share,22,1.22476011,12,3
tpch_sf10_t8,4,2,cpu_share,22,1.15329004,11,4
tpch_sf10_t8,4,4,cpu_share,22,0.955412647,7,8
tpch_sf10_t8,4,8,cpu_share,22,0.743081656,0,15
tpch_sf20_t1,2,1,cpu_share,22,1.2350788,19,3
tpch_sf20_t1,2,1,direct_add,22,1.2350788,19,3
tpch_sf20_t1,2,1.5,cpu_share,22,1.20423818,19,3
tpch_sf20_t1,2,1.5,direct_add,22,1.20604784,19,3
tpch_sf20_t1,2,2,cpu_share,22,1.17670254,18,4
tpch_sf20_t1,2,2,direct_add,22,1.17997646,18,4
tpch_sf20_t1,2,4,cpu_share,22,1.08769816,18,4
tpch_sf20_t1,2,4,direct_add,22,1.09480929,18,4
tpch_sf20_t1,2,8,cpu_share,22,0.968449675,16,6
tpch_sf20_t1,2,8,direct_add,22,0.978772135,16,6
tpch_sf20_t1,4,1,cpu_share,22,1.41412939,18,4
tpch_sf20_t1,4,1,direct_add,22,1.41412939,18,4
tpch_sf20_t1,4,1.5,cpu_share,22,1.32930892,18,4
tpch_sf20_t1,4,1.5,direct_add,22,1.33454396,18,4
tpch_sf20_t1,4,2,cpu_share,22,1.25864184,18,4
tpch_sf20_t1,4,2,direct_add,22,1.26754586,18,4
tpch_sf20_t1,4,4,cpu_share,22,1.05926231,13,9
tpch_sf20_t1,4,4,direct_add,22,1.07528785,14,8
tpch_sf20_t1,4,8,cpu_share,22,0.839540875,8,14
tpch_sf20_t1,4,8,direct_add,22,0.858959784,8,14
tpch_sf20_t64,2,1,cpu_share,22,1.01263966,6,1
tpch_sf20_t64,2,1.5,cpu_share,22,1.0056833,5,5
tpch_sf20_t64,2,2,cpu_share,22,0.998573543,4,6
tpch_sf20_t64,2,4,cpu_share,22,0.970676348,2,8
tpch_sf20_t64,2,8,cpu_share,22,0.923029561,0,10
tpch_sf20_t64,4,1,cpu_share,22,0.998420279,9,4
tpch_sf20_t64,4,1.5,cpu_share,22,0.982895502,6,10
tpch_sf20_t64,4,2,cpu_share,22,0.967910496,4,12
tpch_sf20_t64,4,4,cpu_share,22,0.915565909,3,13
tpch_sf20_t64,4,8,cpu_share,22,0.834015573,1,15
tpch_sf20_t8,2,1,cpu_share,22,1.24014098,10,0
tpch_sf20_t8,2,1.5,cpu_share,22,1.19649275,10,1
tpch_sf20_t8,2,2,cpu_share,22,1.15940575,10,1
tpch_sf20_t8,2,4,cpu_share,22,1.04097573,6,5
tpch_sf20_t8,2,8,cpu_share,22,0.896759983,3,8
tpch_sf20_t8,4,1,cpu_share,22,1.37350754,14,0
tpch_sf20_t8,4,1.5,cpu_share,22,1.28030336,14,1
tpch_sf20_t8,4,2,cpu_share,22,1.20357727,14,1
tpch_sf20_t8,4,4,cpu_share,22,0.99240995,6,9
tpch_sf20_t8,4,8,cpu_share,22,0.767600826,2,13
tpch_sf50_t1,2,1,cpu_share,22,1.23789239,19,3
tpch_sf50_t1,2,1,direct_add,22,1.23789239,19,3
tpch_sf50_t1,2,1.5,cpu_share,22,1.20325428,19,3
tpch_sf50_t1,2,1.5,direct_add,22,1.20509819,19,3
tpch_sf50_t1,2,2,cpu_share,22,1.17298976,18,4
tpch_sf50_t1,2,2,direct_add,22,1.17627164,18,4
tpch_sf50_t1,2,4,cpu_share,22,1.0789836,18,4
tpch_sf50_t1,2,4,direct_add,22,1.08571776,18,4
tpch_sf50_t1,2,8,cpu_share,22,0.954946794,15,7
tpch_sf50_t1,2,8,direct_add,22,0.964651027,16,6
tpch_sf50_t1,4,1,cpu_share,22,1.41984465,17,5
tpch_sf50_t1,4,1,direct_add,22,1.41984465,17,5
tpch_sf50_t1,4,1.5,cpu_share,22,1.32943058,17,5
tpch_sf50_t1,4,1.5,direct_add,22,1.33420354,17,5
tpch_sf50_t1,4,2,cpu_share,22,1.25518665,16,6
tpch_sf50_t1,4,2,direct_add,22,1.26325517,16,6
tpch_sf50_t1,4,4,cpu_share,22,1.0474772,12,10
tpch_sf50_t1,4,4,direct_add,22,1.06180468,14,8
tpch_sf50_t1,4,8,cpu_share,22,0.825046508,6,16
tpch_sf50_t1,4,8,direct_add,22,0.841913233,6,16
tpch_sf50_t64,2,1,cpu_share,22,1.01341786,7,4
tpch_sf50_t64,2,1.5,cpu_share,22,1.00685693,5,7
tpch_sf50_t64,2,2,cpu_share,22,1.00054073,4,8
tpch_sf50_t64,2,4,cpu_share,22,0.976471597,3,9
tpch_sf50_t64,2,8,cpu_share,22,0.935690832,1,11
tpch_sf50_t64,4,1,cpu_share,22,1.00909771,8,6
