dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
tpch_sf10_t8,TPCH SF10,tpch,10,8,full_vs_baseline,22,22,1.31170733,1.25744417,12,0,10,12,4
tpch_sf10_t8,TPCH SF10,tpch,10,8,full_vs_thc,22,22,1.1816732,1.16322702,13,0,9,13,0
tpch_sf10_t8,TPCH SF10,tpch,10,8,thc_vs_baseline,22,22,1.11486986,1,8,6,8,8,1
tpch_sf10_t8,TPCH SF10,tpch,10,8,thc_vs_forward,22,22,0.920761885,1,0,9,13,0,0
tpch_sf20_t1,TPCH SF20,tpch,20,1,backward_vs_forward,22,22,1.13576487,1.00097656,11,10,1,7,1
tpch_sf20_t1,TPCH SF20,tpch,20,1,forward_vs_baseline,22,22,1.2350788,1.00408379,19,3,0,8,3
tpch_sf20_t1,TPCH SF20,tpch,20,1,full_vs_baseline,22,22,1.41412939,1.34264427,18,4,0,13,4
tpch_sf20_t1,TPCH SF20,tpch,20,1,full_vs_thc,22,22,1.20506766,1.1502842,17,4,1,13,1
tpch_sf20_t1,TPCH SF20,tpch,20,1,thc_vs_baseline,22,22,1.16536399,1.00336053,14,8,0,7,3
tpch_sf20_t1,TPCH SF20,tpch,20,1,thc_vs_forward,22,22,0.943932458,0.988677295,2,16,4,0,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,backward_vs_forward,22,22,0.984251563,1,4,7,11,0,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,forward_vs_baseline,22,22,1.01263966,1,6,1,15,1,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,full_vs_baseline,22,22,0.998420279,1,9,4,9,1,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,full_vs_thc,22,22,1.03444807,1,9,6,7,3,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,thc_vs_baseline,22,22,0.964553026,1,6,9,7,1,0
tpch_sf20_t64,TPCH SF20,tpch,20,64,thc_vs_forward,22,22,0.953971933,1,0,10,12,0,0
tpch_sf20_t8,TPCH SF20,tpch,20,8,backward_vs_forward,22,22,1.10315319,1,9,1,12,8,0
tpch_sf20_t8,TPCH SF20,tpch,20,8,forward_vs_baseline,22,22,1.24014098,1,10,0,12,9,2
tpch_sf20_t8,TPCH SF20,tpch,20,8,full_vs_baseline,22,22,1.37350754,1.31177576,14,0,8,14,3
tpch_sf20_t8,TPCH SF20,tpch,20,8,full_vs_thc,22,22,1.18717239,1.12986275,13,0,9,13,0
tpch_sf20_t8,TPCH SF20,tpch,20,8,thc_vs_baseline,22,22,1.15929972,1,8,6,8,8,2
tpch_sf20_t8,TPCH SF20,tpch,20,8,thc_vs_forward,22,22,0.935247313,1,0,10,12,0,0
tpch_sf50_t1,TPCH SF50,tpch,50,1,backward_vs_forward,22,22,1.135502,1.00325199,12,10,0,7,1
tpch_sf50_t1,TPCH SF50,tpch,50,1,forward_vs_baseline,22,22,1.23789239,1.00881461,19,3,0,8,3
tpch_sf50_t1,TPCH SF50,tpch,50,1,full_vs_baseline,22,22,1.41984465,1.4075762,17,5,0,13,4
tpch_sf50_t1,TPCH SF50,tpch,50,1,full_vs_thc,22,22,1.23356411,1.1598797,17,5,0,14,1
tpch_sf50_t1,TPCH SF50,tpch,50,1,thc_vs_baseline,22,22,1.13840187,1.00219281,12,10,0,6,2
tpch_sf50_t1,TPCH SF50,tpch,50,1,thc_vs_forward,22,22,0.920463289,0.968413619,2,19,1,0,0
