dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
job_t1,job,job,,1,3a,forward_vs_baseline,1,2,20,0,0,0,1.47709924,1.5154044,1.46153846,1.6908818,1,0,1,0,0
job_t1,job,job,,1,3a,thc_vs_baseline,1,3,20,0,0,0,1.48649374,1.52145489,1.46734586,1.70296815,1,0,1,0,0
job_t1,job,job,,1,3a,full_vs_baseline,1,4,20,0,0,0,1.6202464,1.63349743,1.59663866,1.68777655,1,0,1,0,0
job_t1,job,job,,1,3a,thc_vs_forward,2,3,20,0,0,0,1.00775194,1.00399265,0.990508681,1.00967061,0.7,0.1,0,0,0
job_t1,job,job,,1,3a,backward_vs_forward,2,4,20,0,0,0,1.09282866,1.07792839,1,1.10169492,0.85,0.1,0.45,0,0
job_t1,job,job,,1,3a,full_vs_thc,3,4,20,0,0,0,1.09322034,1.07364171,0.999115044,1.10254237,0.85,0.05,0.2,0,0
job_t1,job,job,,1,3b,forward_vs_baseline,1,2,20,0,0,0,0.949747475,0.944674298,0.897209721,0.98076555,0.05,0,0,0.15,0
job_t1,job,job,,1,3b,thc_vs_baseline,1,3,20,0,0,0,0.949237271,0.942398493,0.897209721,0.980568823,0.05,0,0,0.15,0
job_t1,job,job,,1,3b,full_vs_baseline,1,4,20,0,0,0,0.95959596,0.951474669,0.915672186,0.990721649,0,0.1,0,0.1,0
job_t1,job,job,,1,3b,thc_vs_forward,2,3,20,0,0,0,0.995049505,0.997590911,0.980178218,1.02139765,0.2,0.3,0,0,0
job_t1,job,job,,1,3b,backward_vs_forward,2,4,20,0,0,0,1.01010101,1.00719864,0.988909091,1.02197767,0.55,0.15,0,0,0
job_t1,job,job,,1,3b,full_vs_thc,3,4,20,0,0,0,1.01047838,1.00963093,0.989888683,1.02068436,0.7,0.1,0,0,0
job_t1,job,job,,1,3c,forward_vs_baseline,1,2,20,0,0,0,1.61917427,1.64674844,1.52139839,1.84416667,1,0,1,0,0
job_t1,job,job,,1,3c,thc_vs_baseline,1,3,20,0,0,0,1.62052314,1.65223797,1.53232818,1.85809524,1,0,1,0,0
job_t1,job,job,,1,3c,full_vs_baseline,1,4,20,0,0,0,1.84706284,1.8425195,1.76661335,1.91803279,1,0,1,0,0
job_t1,job,job,,1,3c,thc_vs_forward,2,3,20,0,0,0,1.0070922,1.00333355,0.986004137,1.0089916,0.6,0.25,0,0,0
job_t1,job,job,,1,3c,backward_vs_forward,2,4,20,0,0,0,1.14575138,1.11888341,1.00756303,1.16393443,0.9,0.05,0.8,0,0
job_t1,job,job,,1,3c,full_vs_thc,3,4,20,0,0,0,1.13877782,1.11516594,1.00672969,1.1564241,0.9,0,0.8,0,0
job_t1,job,job,,1,4a,forward_vs_baseline,1,2,20,0,0,0,1.74350649,1.61608827,1.04761905,2.49339339,1,0,0.7,0,0.4
job_t1,job,job,,1,4a,thc_vs_baseline,1,3,20,0,0,0,1.74086379,1.61423379,1.06904762,2.49339339,1,0,0.7,0,0.35
job_t1,job,job,,1,4a,full_vs_baseline,1,4,20,0,0,0,2.3183908,2.15475282,1.3,3.18183908,1,0,1,0,0.65
job_t1,job,job,,1,4a,thc_vs_forward,2,3,20,0,0,0,1,0.998852487,0.976367065,1.024729,0.2,0.55,0,0,0
job_t1,job,job,,1,4a,backward_vs_forward,2,4,20,0,0,0,1.4,1.33331382,1.19666667,1.46827586,1,0,1,0,0
job_t1,job,job,,1,4a,full_vs_thc,3,4,20,0,0,0,1.4,1.33484557,1.19666667,1.46827586,1,0,1,0,0
job_t1,job,job,,1,4b,forward_vs_baseline,1,2,20,0,0,0,1.31142241,1.30680245,0.854187192,1.91666667,0.85,0,0.75,0.15,0
job_t1,job,job,,1,4b,thc_vs_baseline,1,3,20,0,0,0,1.31517241,1.2991346,0.851428571,1.92173913,0.85,0,0.75,0.15,0.1
job_t1,job,job,,1,4b,full_vs_baseline,1,4,20,0,0,0,1.37083333,1.33951544,0.857142857,1.88333333,0.85,0,0.8,0.15,0.05
job_t1,job,job,,1,4b,thc_vs_forward,2,3,20,0,0,0,1,0.994132363,0.955833333,1.04347826,0.25,0.45,0,0,0
job_t1,job,job,,1,4b,backward_vs_forward,2,4,20,0,0,0,1,1.02503286,0.996,1.14285714,0.35,0.55,0.15,0,0
job_t1,job,job,,1,4b,full_vs_thc,3,4,20,0,0,0,1.03509852,1.03108288,0.958333333,1.11071429,0.55,0.3,0.15,0,0
job_t1,job,job,,1,4c,forward_vs_baseline,1,2,20,0,0,0,1.82769556,1.72345563,1.0546471,2.64642857,1,0,0.75,0,0.4
job_t1,job,job,,1,4c,thc_vs_baseline,1,3,20,0,0,0,1.83766234,1.72641592,1.03703704,2.67272727,1,0,0.8,0,0.4
job_t1,job,job,,1,4c,full_vs_baseline,1,4,20,0,0,0,2.68181818,2.50981918,1.42005348,3.94465241,1,0,1,0,0.65
job_t1,job,job,,1,4c,thc_vs_forward,2,3,20,0,0,0,1,1.00171765,0.976190476,1.02380952,0.35,0.4,0,0,0
